shots,dataset,best_beta,best_delta
1,caltech101,0.05,0.21141568819682277
1,dtd,0.30,0.992908080418907
1,eurosat,0.02,-0.06180455287297448
1,fgvc_aircraft,0.20,1.3300344347953796
1,food101,0.05,0.025387605031326643
1,oxford_flowers,0.02,-0.22589365641275094
1,oxford_pets,0.30,1.000366608301789
1,stanford_cars,0.20,0.08923014005026175
1,sun397,0.02,0.022276242574051253
1,ucf101,0.02,0.06337165832519531
2,caltech101,0.30,0.14716386795043945
2,dtd,0.30,1.2932827075322493
2,eurosat,0.30,3.906765580177307
2,fgvc_aircraft,0.30,1.2341737747192383
2,food101,0.05,0.023257732391357422
2,oxford_flowers,0.02,-0.26560425758361816
2,oxford_pets,0.30,0.1483519872029575
2,stanford_cars,0.02,-0.03486275672912598
2,sun397,0.05,0.09271105130513035
2,ucf101,0.05,0.1861671606699673
4,caltech101,0.10,0.11299451192219578
4,dtd,0.30,1.8395394086837769
4,eurosat,0.30,2.7667492628097534
4,fgvc_aircraft,0.30,1.2046823898951224
4,food101,0.02,0.03010233243306004
4,oxford_flowers,0.30,0.1459856828053745
4,oxford_pets,0.02,0.1325368881225586
4,stanford_cars,0.30,0.027557214101165073
4,sun397,0.05,0.08943875630697562
4,ucf101,0.10,0.019729137420654297
8,caltech101,0.10,0.10010004043579102
8,dtd,0.30,1.925025383631386
8,eurosat,0.30,1.8703237175941467
8,fgvc_aircraft,0.30,1.4080802599589077
8,food101,0.05,0.0033875306447299636
8,oxford_flowers,0.30,0.46549439430236816
8,oxford_pets,0.02,-0.15811920166015625
8,stanford_cars,0.30,0.18023649851480172
8,sun397,0.05,0.06197293599446141
8,ucf101,0.02,-0.011205673217773438
