shots,dataset,beta,delta
1,caltech101,0.02,0.09865959485372855
1,dtd,0.02,0.08105337619781494
1,eurosat,0.02,-0.06180455287297448
1,fgvc_aircraft,0.02,0.21651734908421716
1,food101,0.02,-0.012139479319259294
1,oxford_flowers,0.02,-0.22589365641275094
1,oxford_pets,0.02,0.06424387296040379
1,stanford_cars,0.02,-0.029742717742919922
1,sun397,0.02,0.022276242574051253
1,ucf101,0.02,0.06337165832519531
1,caltech101,0.05,0.21141568819682277
1,dtd,0.05,0.26342471440633375
1,eurosat,0.05,-0.17717331647872925
1,fgvc_aircraft,0.05,0.6289308269818612
1,food101,0.05,0.025387605031326643
1,oxford_flowers,0.05,-0.578850507736206
1,oxford_pets,0.05,0.13766487439472996
1,stanford_cars,0.05,0.03399252891540527
1,sun397,0.05,-0.001712640126541487
1,ucf101,0.05,0.03621379534402536
1,caltech101,0.10,0.18322666486105277
1,dtd,0.10,0.6686935822168962
1,eurosat,0.10,-0.13184994459152222
1,fgvc_aircraft,0.10,1.1547580361366272
1,food101,0.10,-0.04525383313496434
1,oxford_flowers,0.10,-0.9035726388295444
1,oxford_pets,0.10,0.5323052406311035
1,stanford_cars,0.10,0.07223288218180812
1,sun397,0.10,-0.044552485148116716
1,ucf101,0.10,-0.19916494687399222
1,caltech101,0.20,0.11275410652160645
1,dtd,0.20,0.6281663974126204
1,eurosat,0.20,-1.1042435963948556
1,fgvc_aircraft,0.20,1.3300344347953796
1,food101,0.20,-0.14680226643879735
1,oxford_flowers,0.20,-0.5364954471588135
1,oxford_pets,0.20,0.9636580944061279
1,stanford_cars,0.20,0.08923014005026175
1,sun397,0.20,-0.16449888547261793
1,ucf101,0.20,-0.4164397716522217
1,caltech101,0.30,0.15503764152526855
1,dtd,0.30,0.992908080418907
1,eurosat,0.30,-1.817058026790619
1,fgvc_aircraft,0.30,1.2063100934028625
1,food101,0.30,-0.25828679402668797
1,oxford_flowers,0.30,-0.36707719167073094
1,oxford_pets,0.30,1.000366608301789
1,stanford_cars,0.30,-0.03399252891540527
1,sun397,0.30,-0.2261837323506697
1,ucf101,0.30,-0.34401416778564453
2,caltech101,0.02,0.01471439997355617
2,dtd,0.02,0.10429620742797852
2,eurosat,0.02,0.15264004468917847
2,fgvc_aircraft,0.02,0.2872645854949951
2,food101,0.02,0.012181202570602068
2,oxford_flowers,0.02,-0.26560425758361816
2,oxford_pets,0.02,-0.12053847312927246
2,stanford_cars,0.02,-0.03486275672912598
2,sun397,0.02,0.04897912343342625
2,ucf101,0.02,0.055851538976043
2,caltech101,0.05,0.10301272074381984
2,dtd,0.05,0.37546853224436916
2,eurosat,0.05,0.7673268516858407
2,fgvc_aircraft,0.05,0.6702840328216553
2,food101,0.05,0.023257732391357422
2,oxford_flowers,0.05,-0.6344993909199985
2,oxford_pets,0.05,-0.13908147811889648
2,stanford_cars,0.05,-0.06100932757058786
2,sun397,0.05,0.09271105130513035
2,ucf101,0.05,0.1861671606699673
2,caltech101,0.10,0.1324474811553955
2,dtd,0.10,0.6466418504714966
2,eurosat,0.10,1.9183168808619193
2,fgvc_aircraft,0.10,0.893712043762207
2,food101,0.10,-0.04540681838989258
2,oxford_flowers,0.10,-0.7673005263010708
2,oxford_pets,0.10,-0.13908346494039847
2,stanford_cars,0.10,-0.13944904009500192
2,sun397,0.10,-0.006997585296630859
2,ucf101,0.10,0.15824437141418457
2,caltech101,0.20,0.058863560358688005
2,dtd,0.20,0.7509390513102261
2,eurosat,0.20,3.57673317193985
2,fgvc_aircraft,0.20,1.1916160583496094
2,food101,0.20,-0.25693774223327637
2,oxford_flowers,0.20,-0.6344993909199985
2,oxford_pets,0.20,-0.027817487716674805
2,stanford_cars,0.20,-0.23532311121621774
2,sun397,0.20,-0.12769103050231934
2,ucf101,0.20,0.01861651738485648
2,caltech101,0.30,0.14716386795043945
2,dtd,0.30,1.2932827075322493
2,eurosat,0.30,3.906765580177307
2,fgvc_aircraft,0.30,1.2341737747192383
2,food101,0.30,-0.2945919831593784
2,oxford_flowers,0.30,-0.5016982555389404
2,oxford_pets,0.30,0.1483519872029575
2,stanford_cars,0.30,-0.18738706906636082
2,sun397,0.30,-0.1049538453420027
2,ucf101,0.30,0.17686088879904105
4,caltech101,0.02,0.016138950983673794
4,dtd,0.02,0.06648898124694824
4,eurosat,0.02,0.033085544904071895
4,fgvc_aircraft,0.02,0.10228405396143714
4,food101,0.02,0.03010233243306004
4,oxford_flowers,0.02,-0.2919713656107632
4,oxford_pets,0.02,0.1325368881225586
4,stanford_cars,0.02,-0.08267958958943211
4,sun397,0.02,0.04380544026693656
4,ucf101,0.02,-0.019731124242142073
4,caltech101,0.05,0.03228187561035156
4,dtd,0.05,0.24379392464955174
4,eurosat,0.05,0.16129066546757898
4,fgvc_aircraft,0.05,0.465962290763855
4,food101,0.05,-1.9868214877760693e-06
4,oxford_flowers,0.05,-0.27575095494589164
4,oxford_pets,0.05,-1.9868214877760693e-06
4,stanford_cars,0.05,-0.032154719034821255
4,sun397,0.05,0.08943875630697562
4,ucf101,0.05,-0.009864568710327148
4,caltech101,0.10,0.11299451192219578
4,dtd,0.10,0.7535457611083984
4,eurosat,0.10,0.806451837221779
4,fgvc_aircraft,0.10,0.8637343843777963
4,food101,0.10,-0.03679593404133641
4,oxford_flowers,0.10,-0.2108653386434014
4,oxford_pets,0.10,-0.274542967478439
4,stanford_cars,0.10,-0.08267958958943211
4,sun397,0.10,0.012777249018355974
4,ucf101,0.10,0.019729137420654297
4,caltech101,0.20,0.08070866266885446
4,dtd,0.20,1.285461584726967
4,eurosat,0.20,2.287014325459797
4,fgvc_aircraft,0.20,1.159222920735676
4,food101,0.20,-0.2430657545725552
4,oxford_flowers,0.20,0.08110404014587402
4,oxford_pets,0.20,-0.48281947771708644
4,stanford_cars,0.20,-0.059713919957474104
4,sun397,0.20,-0.15332500139871996
4,ucf101,0.20,-0.2860804398854526
4,caltech101,0.30,0.048422813415527344
4,dtd,0.30,1.8395394086837769
4,eurosat,0.30,2.7667492628097534
4,fgvc_aircraft,0.30,1.2046823898951224
4,food101,0.30,-0.30773480733235203
4,oxford_flowers,0.30,0.1459856828053745
4,oxford_pets,0.30,-0.5774875481923374
4,stanford_cars,0.30,0.027557214101165073
4,sun397,0.30,-0.18800497055053
4,ucf101,0.30,-0.13810793558756984
8,caltech101,0.02,0.06006161371867336
8,dtd,0.02,0.05065798759460449
8,eurosat,0.02,0.14547010262807092
8,fgvc_aircraft,0.02,0.09211798508962232
8,food101,0.02,-0.011303027470901839
8,oxford_flowers,0.02,-0.12143254280090332
8,oxford_pets,0.02,-0.15811920166015625
8,stanford_cars,0.02,0.030897061030060513
8,sun397,0.02,0.06197094917297363
8,ucf101,0.02,-0.011205673217773438
8,caltech101,0.05,0.0
8,dtd,0.05,0.2786219120025635
8,eurosat,0.05,0.28262684742609423
8,fgvc_aircraft,0.05,0.48690636952718336
8,food101,0.05,0.0033875306447299636
8,oxford_flowers,0.05,-0.22262533505757176
8,oxford_pets,0.05,-0.2865890661875454
8,stanford_cars,0.05,-0.020599365234375
8,sun397,0.05,0.06197293599446141
8,ucf101,0.05,-0.04481673240661621
8,caltech101,0.10,0.10010004043579102
8,dtd,0.10,0.9118537108103411
8,eurosat,0.10,0.6400664647420236
8,fgvc_aircraft,0.10,0.947493314743042
8,food101,0.10,-0.042951107025146484
8,oxford_flowers,0.10,-0.22262732187905954
8,oxford_pets,0.10,-0.45458873112995946
8,stanford_cars,0.10,-0.0669439633687432
8,sun397,0.10,-0.09595751762390137
8,ucf101,0.10,-0.04481673240661621
8,caltech101,0.20,0.06005962689718558
8,dtd,0.20,1.2158056100209507
8,eurosat,0.20,1.425602535406746
8,fgvc_aircraft,0.20,1.3422821958859785
8,food101,0.20,-0.21361708641052246
8,oxford_flowers,0.20,0.20238955815634085
8,oxford_pets,0.20,-0.474355618158981
8,stanford_cars,0.20,-0.005147854487105974
8,sun397,0.20,-0.213907162348427
8,ucf101,0.20,-0.30252138773600734
8,caltech101,0.30,0.0
8,dtd,0.30,1.925025383631386
8,eurosat,0.30,1.8703237175941467
8,fgvc_aircraft,0.30,1.4080802599589077
8,food101,0.30,-0.23170113563537598
8,oxford_flowers,0.30,0.46549439430236816
8,oxford_pets,0.30,-0.4150609175364224
8,stanford_cars,0.30,0.18023649851480172
8,sun397,0.30,-0.25788744290669996
8,ucf101,0.30,-0.2464989821116177
